Country/Region,Province/State,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Sudan,Sudan,2020-03-11T20:00:00,1,1,0,12.8628,30.2176
Portugal,Portugal,2020-03-11T20:00:00,112,0,1,39.3999,-8.2245
Andorra,Andorra,2020-03-11T20:00:00,1,0,0,42.5063,1.5218
Guinea,Guinea,2020-03-11T20:00:00,1,0,0,9.9456,-9.6966
Antigua and Barbuda,Antigua and Barbuda,2020-03-11T20:00:00,1,0,0,17.0608,-61.7964
Belgium,Belgium,2020-03-11T20:00:00,559,3,1,50.5039,4.4699
Russia,Russia,2020-03-11T20:00:00,45,0,3,61.524,105.3188
India,India,2020-03-11T20:00:00,82,2,4,20.5937,78.9629
Morocco,Morocco,2020-03-11T20:00:00,7,1,1,31.7917,-7.0926
Aruba,Aruba,2020-03-11T20:00:00,2,0,0,12.5211,-69.9683
Canada,Grand Princess,2020-03-11T20:00:00,2,0,0,37.6489,-122.6655
Argentina,Argentina,2020-03-11T20:00:00,31,2,0,-38.4161,-63.6167
Chile,Chile,2020-03-11T20:00:00,43,0,0,-35.6751,-71.543
Jordan,Jordan,2020-03-11T20:00:00,1,0,1,31.24,36.51
Kenya,Kenya,2020-03-11T20:00:00,1,0,0,-0.0236,37.9062
France,Saint Barthelemy,2020-03-11T20:00:00,1,0,0,17.9,-62.8333
France,St Martin,2020-03-11T20:00:00,2,0,0,18.0708,-63.0501
Poland,Poland,2020-03-11T20:00:00,68,2,0,51.9194,19.1451
Denmark,Faroe Islands,2020-03-11T20:00:00,3,0,0,61.8926,-6.9118
United Kingdom,Gibraltar,2020-03-11T20:00:00,1,0,1,36.1408,-5.3536
Hungary,Hungary,2020-03-11T20:00:00,19,0,0,47.1625,19.5033
Australia,Northern Territory,2020-03-11T20:00:00,1,0,0,-12.4634,130.8456
US,Alabama,2020-03-11T20:00:00,5,0,0,32.3182,-86.9023
Slovenia,Slovenia,2020-03-11T20:00:00,141,0,0,46.1512,14.9955
Finland,Finland,2020-03-11T20:00:00,155,0,1,61.9241,25.7482
South Africa,South Africa,2020-03-11T20:00:00,24,0,0,-30.5595,22.9375
Bosnia and Herzegovina,Bosnia and Herzegovina,2020-03-11T20:00:00,13,0,0,43.9159,17.6791
Saudi Arabia,Saudi Arabia,2020-03-11T20:00:00,86,0,1,23.8859,45.0792
Cote d'Ivoire,Cote d'Ivoire,2020-03-11T20:00:00,1,0,0,7.54,-5.5471
Luxembourg,Luxembourg,2020-03-11T20:00:00,34,0,0,49.8153,6.1296
Costa Rica,Costa Rica,2020-03-11T20:00:00,23,0,0,9.7489,-83.7534
Canada,Alberta,2020-03-11T20:00:00,29,0,0,53.9333,-116.5765
Bhutan,Bhutan,2020-03-11T20:00:00,1,0,0,27.5142,90.4336
Spain,Spain,2020-03-11T20:00:00,5232,133,193,40.4637,-3.7492
Malaysia,Malaysia,2020-03-11T20:00:00,197,0,26,4.2105,101.9758
Holy See,Holy See,2020-03-11T20:00:00,1,0,0,41.9029,12.4534
Serbia,Serbia,2020-03-11T20:00:00,35,0,0,44.0165,21.0059
Cameroon,Cameroon,2020-03-11T20:00:00,2,0,0,3.848,11.5021
Slovakia,Slovakia,2020-03-11T20:00:00,32,0,0,48.669,19.699
Togo,Togo,2020-03-11T20:00:00,1,0,0,8.6195,0.8248
Peru,Peru,2020-03-11T20:00:00,28,0,0,-9.19,-75.0152
Romania,Romania,2020-03-11T20:00:00,89,0,7,45.9432,24.9668
Mexico,Mexico,2020-03-11T20:00:00,12,0,4,23.6345,-102.5528
Colombia,Colombia,2020-03-11T20:00:00,13,0,0,4.5709,-74.2973
US,Grand Princess,2020-03-11T20:00:00,21,0,0,37.64894,-122.665479
Brunei,Brunei,2020-03-11T20:00:00,37,0,0,4.5353,114.7277
Martinique,Martinique,2020-03-11T20:00:00,3,0,0,14.6415,-61.0242
French Guiana,French Guiana,2020-03-11T20:00:00,5,0,0,3.9339,-53.1258
Malta,Malta,2020-03-11T20:00:00,12,0,1,35.9375,14.3754
Paraguay,Paraguay,2020-03-11T20:00:00,6,0,0,-23.4425,-58.4438
Moldova,Moldova,2020-03-11T20:00:00,6,0,0,47.4116,28.3699
Maldives,Maldives,2020-03-11T20:00:00,9,0,0,3.2028,73.2207
Bulgaria,Bulgaria,2020-03-11T20:00:00,23,1,0,42.7339,25.4858
Tunisia,Tunisia,2020-03-11T20:00:00,16,0,0,33.8869,9.5375
Cyprus,Cyprus,2020-03-11T20:00:00,14,0,0,35.1264,33.4299
US,Alaska,2020-03-11T20:00:00,1,0,0,61.370716,-152.404419
US,Arizona,2020-03-11T20:00:00,9,0,1,33.729759,-111.431221
US,Arkansas,2020-03-11T20:00:00,6,0,0,34.969704,-92.373123
US,California,2020-03-11T20:00:00,282,4,6,36.116203,-119.681564
US,Colorado,2020-03-11T20:00:00,49,0,0,39.059811,-105.311104
US,Connecticut,2020-03-11T20:00:00,11,0,0,41.597782,-72.755371
US,Delaware,2020-03-11T20:00:00,4,0,0,39.318523,-75.507141
US,District of Columbia,2020-03-11T20:00:00,10,0,0,38.897438,-77.026817
US,Florida,2020-03-11T20:00:00,50,2,0,27.766279,-81.686783
US,Georgia,2020-03-11T20:00:00,42,1,0,33.040619,-83.643074
US,Hawaii,2020-03-11T20:00:00,2,0,0,21.094318,-157.498337
US,Idaho,2020-03-11T20:00:00,1,0,0,44.240459,-114.478828
US,Illinois,2020-03-11T20:00:00,46,0,2,40.349457,-88.986137
US,Indiana,2020-03-11T20:00:00,13,0,0,39.849426,-86.258278
US,Iowa,2020-03-11T20:00:00,17,0,0,42.011539,-93.210526
US,Kansas,2020-03-11T20:00:00,5,1,0,38.5266,-96.726486
US,Kentucky,2020-03-11T20:00:00,14,0,0,37.66814,-84.670067
US,Louisiana,2020-03-11T20:00:00,36,0,0,31.169546,-91.867805
US,Maine,2020-03-11T20:00:00,1,0,0,44.693947,-69.381927
US,Maryland,2020-03-11T20:00:00,18,0,0,39.063946,-76.802101
US,Massachusetts,2020-03-11T20:00:00,123,0,1,42.230171,-71.530106
US,Michigan,2020-03-11T20:00:00,16,0,0,43.326618,-84.536095
US,Minnesota,2020-03-11T20:00:00,14,0,0,45.694454,-93.900192
US,Mississippi,2020-03-11T20:00:00,1,0,0,32.741646,-89.678696
US,Missouri,2020-03-11T20:00:00,2,0,0,38.456085,-92.288368
US,Montana,2020-03-11T20:00:00,1,0,0,46.921925,-110.454353
US,Nebraska,2020-03-11T20:00:00,13,0,0,41.12537,-98.268082
US,Nevada,2020-03-11T20:00:00,17,0,0,38.313515,-117.055374
US,New Hampshire,2020-03-11T20:00:00,6,0,0,43.452492,-71.563896
US,New Jersey,2020-03-11T20:00:00,29,1,0,40.298904,-74.521011
US,New Mexico,2020-03-11T20:00:00,10,0,0,34.840515,-106.248482
US,New York,2020-03-11T20:00:00,421,0,0,42.165726,-74.948051
US,North Carolina,2020-03-11T20:00:00,17,0,0,35.630066,-79.806419
US,North Dakota,2020-03-11T20:00:00,1,0,0,47.528912,-99.784012
US,Ohio,2020-03-11T20:00:00,13,0,0,40.388783,-82.764915
US,Oklahoma,2020-03-11T20:00:00,2,0,0,35.565342,-96.928917
US,Oregon,2020-03-11T20:00:00,30,0,0,44.572021,-122.070938
US,Pennsylvania,2020-03-11T20:00:00,41,0,0,40.590752,-77.209755
US,Rhode Island,2020-03-11T20:00:00,14,0,0,41.680893,-71.51178
US,South Carolina,2020-03-11T20:00:00,13,0,0,33.856892,-80.945007
US,South Dakota,2020-03-11T20:00:00,8,1,0,44.299782,-99.438828
US,Tennessee,2020-03-11T20:00:00,26,0,0,35.747845,-86.692345
US,Texas,2020-03-11T20:00:00,43,0,0,31.054487,-97.563461
US,Utah,2020-03-11T20:00:00,9,0,0,40.150032,-111.862434
US,Vermont,2020-03-11T20:00:00,2,0,0,44.045876,-72.710686
US,Virginia,2020-03-11T20:00:00,30,0,0,37.769337,-78.169968
US,Washington,2020-03-11T20:00:00,568,37,1,47.400902,-121.490494
US,West Virginia,2020-03-11T20:00:00,0,0,0,38.491226,-80.954453
US,Wisconsin,2020-03-11T20:00:00,19,0,1,44.268543,-89.616508
US,Wyoming,2020-03-11T20:00:00,1,0,0,42.755966,-107.30249
Vietnam,Vietnam,2020-03-11T20:00:00,47,0,16,14.0583,108.2772
Mongolia,Mongolia,2020-03-11T20:00:00,1,0,0,46.8625,103.8467
Jamaica,Jamaica,2020-03-11T20:00:00,8,0,0,18.1096,-77.2975
Afghanistan,Afghanistan,2020-03-11T20:00:00,7,0,0,33,65
Monaco,Monaco,2020-03-11T20:00:00,2,0,0,43.7333,7.4167
Liechtenstein,Liechtenstein,2020-03-11T20:00:00,1,0,0,47.14,9.55
Guyana,Guyana,2020-03-11T20:00:00,1,1,0,5,-58.75
Taiwan,Taiwan,2020-03-11T20:00:00,50,1,20,23.7,121
